Month,Phase,NetPnL,Payoff,HedgingPnL,TxCosts
2016-02,Pre-COVID,0.28631203520973997,0.0,0.32113671814120437,0.03482468293146439
2016-03,Pre-COVID,-1.4126821374033864,2.0024276464903608,-3.379545533017307,0.03556425087644023
2016-04,Pre-COVID,-0.004923978643073562,0.15761256012439162,-0.12762231882668118,0.034914219940784
2016-05,Pre-COVID,-0.7739276871554606,0.0,-0.738891331011672,0.035036356143788513
2016-06,Pre-COVID,2.592983630442488,0.0,2.627346822728839,0.03436319228635129
2016-07,Pre-COVID,-0.78071828155036,2.185122206145735,-2.930365957700616,0.03547452999547915
2016-08,Pre-COVID,0.3547291624016615,0.3174764818802487,0.07212669528617255,0.03487401476475968
2016-09,Pre-COVID,0.7580639892276965,0.0,0.7927940352635403,0.034730046035843884
2016-10,Pre-COVID,1.369276787887495,0.0,1.4038844953430072,0.034607707455512185
2016-11,Pre-COVID,-1.432141143876787,2.442298232115789,-3.8387830677068138,0.03565630828576226
2016-12,Pre-COVID,0.20167120250814538,2.5530292833246904,-2.3160064866423795,0.035351594174165474
2017-01,Pre-COVID,-0.08210328566937637,0.7655979538221516,-0.8126503571690193,0.035050882322508595
2017-03,Pre-COVID,1.3263506490942376,0.0,1.3609669902768218,0.034616341182584096
2017-05,Pre-COVID,-0.8163919996283009,0.22253593114304238,-1.0038387346710778,0.03508919610026555
2017-06,Pre-COVID,-0.20371349014824358,0.2126879459600559,-0.3814367676879584,0.03496466842034107
2017-07,Pre-COVID,-0.4847446022656672,1.033033728757772,-1.482593319827501,0.03518501119593817
2017-08,Pre-COVID,1.0962987476048354,0.0,1.1309610127025564,0.03466226509772099
2017-09,Pre-COVID,-0.8852255600459747,0.6578098923801718,-1.507845407286922,0.035190045139224475
2017-10,Pre-COVID,-0.7918703922584188,1.0348411414079521,-1.7914648717199242,0.03524666194644677
2017-11,Pre-COVID,-1.1669372631448287,0.44766574422348526,-1.5793987343241014,0.03520427304421267
2017-12,Pre-COVID,-0.23413527408369694,0.8371958764181926,-1.0362354411414998,0.03509570936038975
2018-01,Pre-COVID,-0.7085862897252785,3.423588562183909,-4.096467247813166,0.035707604096021237
2018-03,Pre-COVID,3.385579850888418,1.053120261100375,2.3668747985623355,0.034415208774292716
2018-04,Pre-COVID,-0.21940792829718747,2.7895985770724394,-2.9735233338739704,0.035483171495656496
