Date,Phase,Close_^GSPC,Hedge,Regime,Xi
2016-02-01,Pre-COVID,100.0,-0.8719725608825684,2,0.4392033815383911
2016-02-02,Pre-COVID,98.12569091697253,-0.8722176551818848,2,0.43801939487457275
2016-02-03,Pre-COVID,98.61553818651649,-0.8722168207168579,2,0.437995046377182
2016-02-04,Pre-COVID,98.76609773996391,-0.8722167015075684,2,0.43797436356544495
2016-02-05,Pre-COVID,96.94077716046824,-0.872222363948822,2,0.43797338008880615
2016-02-08,Pre-COVID,95.56868363806015,-0.8722260594367981,2,0.4379698634147644
2016-02-09,Pre-COVID,95.50526231445915,-0.872223973274231,2,0.4379562735557556
2016-02-10,Pre-COVID,95.48721656865085,-0.8722208142280579,2,0.43794289231300354
2016-02-11,Pre-COVID,94.31261286852398,-0.8722215294837952,2,0.43794184923171997
2016-02-12,Pre-COVID,96.15341112117711,-0.872212290763855,2,0.43791335821151733
2016-02-16,Pre-COVID,97.7415437553317,-0.8722022771835327,2,0.4378843903541565
2016-02-17,Pre-COVID,99.35236732553047,-0.8721917867660522,2,0.4378545582294464
2016-02-18,Pre-COVID,98.88881762347414,-0.8721877336502075,2,0.43784299492836
2016-02-19,Pre-COVID,98.88624325652764,-0.872182309627533,2,0.43782734870910645
2016-02-22,Pre-COVID,100.31556451555545,-0.8721715807914734,2,0.43779826164245605
2016-02-23,Pre-COVID,99.06619717095329,-0.8721699118614197,2,0.4377933740615845
2016-02-24,Pre-COVID,99.50602996676426,-0.8721629977226257,2,0.4377734363079071
2016-02-25,Pre-COVID,100.6352517948027,-0.8721534013748169,2,0.43774881958961487
2016-02-26,Pre-COVID,100.44705235299345,-0.8721486330032349,2,0.4377361834049225
2016-03-01,Pre-COVID,100.0,-0.8719725608825684,2,0.4392033815383911
2016-03-02,Pre-COVID,100.40943087350043,-0.8722075819969177,2,0.4379979968070984
2016-03-03,Pre-COVID,100.7607374334092,-0.8722048997879028,2,0.4379692077636719
2016-03-04,Pre-COVID,101.09384158088753,-0.8722028732299805,2,0.43794551491737366
2016-03-07,Pre-COVID,101.18331106571543,-0.8722019195556641,2,0.43792465329170227
2016-03-08,Pre-COVID,100.04599965582013,-0.8722019195556641,2,0.4379202127456665
2016-03-09,Pre-COVID,100.55147139355138,-0.8721968531608582,2,0.4379004240036011
2016-03-10,Pre-COVID,100.56713780886017,-0.8721926808357239,2,0.437885582447052
2016-03-11,Pre-COVID,102.21598637052718,-0.8721809983253479,2,0.4378560185432434
2016-03-14,Pre-COVID,102.0870947795913,-0.8721768260002136,2,0.43784353137016296
2016-03-15,Pre-COVID,101.89956673939197,-0.8721721768379211,2,0.4378298819065094
2016-03-16,Pre-COVID,102.47024013548022,-0.8721645474433899,2,0.4378089904785156
