Date,Close
2018-01-02 00:00:00-05:00,40.380985260009766
2018-01-03 00:00:00-05:00,40.373966217041016
2018-01-04 00:00:00-05:00,40.56149673461914
2018-01-05 00:00:00-05:00,41.02330780029297
2018-01-08 00:00:00-05:00,40.87092208862305
2018-01-09 00:00:00-05:00,40.86623764038086
2018-01-10 00:00:00-05:00,40.856876373291016
2018-01-11 00:00:00-05:00,41.088932037353516
2018-01-12 00:00:00-05:00,41.513240814208984
2018-01-16 00:00:00-05:00,41.30226135253906
2018-01-17 00:00:00-05:00,41.98442077636719
2018-01-18 00:00:00-05:00,42.02193069458008
2018-01-19 00:00:00-05:00,41.83439254760742
2018-01-22 00:00:00-05:00,41.49214172363281
2018-01-23 00:00:00-05:00,41.50151824951172
2018-01-24 00:00:00-05:00,40.840457916259766
2018-01-25 00:00:00-05:00,40.111419677734375
2018-01-26 00:00:00-05:00,40.2051887512207
2018-01-29 00:00:00-05:00,39.372989654541016
2018-01-30 00:00:00-05:00,39.14092254638672
2018-01-31 00:00:00-05:00,39.248741149902344
2018-02-01 00:00:00-05:00,39.3307991027832
2018-02-02 00:00:00-05:00,37.62422561645508
2018-02-05 00:00:00-05:00,36.68422317504883
2018-02-06 00:00:00-05:00,38.21731948852539
2018-02-07 00:00:00-05:00,37.39918518066406
2018-02-08 00:00:00-05:00,36.370086669921875
2018-02-09 00:00:00-05:00,36.81494903564453
2018-02-12 00:00:00-05:00,38.29780960083008
2018-02-13 00:00:00-05:00,38.68146514892578
2018-02-14 00:00:00-05:00,39.39463806152344
2018-02-15 00:00:00-05:00,40.71746063232422
2018-02-16 00:00:00-05:00,40.58564376831055
2018-02-20 00:00:00-05:00,40.44913101196289
2018-02-21 00:00:00-05:00,40.265541076660156
2018-02-22 00:00:00-05:00,40.602134704589844
2018-02-23 00:00:00-05:00,41.308250427246094
2018-02-26 00:00:00-05:00,42.124996185302734
2018-02-27 00:00:00-05:00,41.98848342895508
2018-02-28 00:00:00-05:00,41.924922943115234
2018-03-01 00:00:00-05:00,41.19056701660156
2018-03-02 00:00:00-05:00,41.475364685058594
2018-03-05 00:00:00-05:00,41.61894607543945
2018-03-06 00:00:00-05:00,41.58362579345703
2018-03-07 00:00:00-05:00,41.1976203918457
2018-03-08 00:00:00-05:00,41.64720153808594
2018-03-09 00:00:00-05:00,42.36271286010742
2018-03-12 00:00:00-04:00,42.77228546142578
2018-03-13 00:00:00-04:00,42.36036682128906
2018-03-14 00:00:00-04:00,42.00025177001953
2018-03-15 00:00:00-04:00,42.04967498779297
2018-03-16 00:00:00-04:00,41.901390075683594
2018-03-19 00:00:00-04:00,41.261173248291016
2018-03-20 00:00:00-04:00,41.24704360961914
2018-03-21 00:00:00-04:00,40.31261444091797
2018-03-22 00:00:00-04:00,39.743019104003906
2018-03-23 00:00:00-04:00,38.822689056396484
2018-03-26 00:00:00-04:00,40.665679931640625
2018-03-27 00:00:00-04:00,39.62296676635742
2018-03-28 00:00:00-04:00,39.1851692199707
2018-03-29 00:00:00-04:00,39.49115753173828
2018-04-02 00:00:00-04:00,39.23223876953125
2018-04-03 00:00:00-04:00,39.63473892211914
2018-04-04 00:00:00-04:00,40.39263916015625
2018-04-05 00:00:00-04:00,40.67274475097656
2018-04-06 00:00:00-04:00,39.632381439208984
2018-04-09 00:00:00-04:00,40.02545166015625
2018-04-10 00:00:00-04:00,40.778656005859375
2018-04-11 00:00:00-04:00,40.58800506591797
2018-04-12 00:00:00-04:00,40.988121032714844
