start_S0,moneyness_start,pnl,payoff,hedging_error,num_trades,Policy,final_price,Moneyness Bin
71.8682822105437,0.718682822105437,-0.001327882830723526,0.0,-0.001327882830723526,50,Delta Hedger,,Deep OTM
144.34205437073183,1.4434205437073182,6.128024583368454,39.14431658686385,-33.016292003495394,45,Delta Hedger,,Deep ITM
132.1837180522063,1.321837180522063,-26.2961906261943,14.42296488565404,-40.71915551184834,50,Delta Hedger,,Deep ITM
91.28173377291625,0.9128173377291625,-0.9580806514041577,0.0,-0.9580806514041577,50,Delta Hedger,,OTM
141.9834785433792,1.4198347854337918,4.053539259496064,42.85736684235013,-38.80382758285407,45,Delta Hedger,,Deep ITM
115.29367190062021,1.152936719006202,22.677554141030917,26.99353458234718,-4.315980441316263,47,Delta Hedger,,ITM
77.30219602961856,0.7730219602961855,-0.104181678449746,0.0,-0.104181678449746,50,Delta Hedger,,Deep OTM
147.56494712800924,1.4756494712800923,1.9935271009507112,51.740936197483364,-49.74740909653265,40,Delta Hedger,,Deep ITM
106.10156170574137,1.0610156170574137,7.289638618048988,8.67553887689192,-1.3859002588429323,50,Delta Hedger,,ITM
73.6279405215069,0.736279405215069,-0.0019045284631443577,0.0,-0.0019045284631443577,50,Delta Hedger,,Deep OTM
105.87333069457578,1.0587333069457578,-0.9753729923137822,6.401712636926433,-7.377085629240216,50,Delta Hedger,,ITM
87.7117843005018,0.877117843005018,-0.661512127473439,0.0,-0.661512127473439,50,Delta Hedger,,OTM
55.838491284729855,0.5583849128472985,-4.446075236711068e-09,0.0,-4.446075236711068e-09,50,Delta Hedger,,Deep OTM
135.97194018733921,1.3597194018733922,-3.810738251322272,33.12946123703193,-36.9401994883542,47,Delta Hedger,,Deep ITM
90.17594756716983,0.9017594756716982,-1.5530109339905875,0.0,-1.5530109339905875,50,Delta Hedger,,OTM
76.89427995471723,0.7689427995471724,-0.009063665183707883,0.0,-0.009063665183707883,50,Delta Hedger,,Deep OTM
125.6839811272691,1.256839811272691,2.2431059548368353,26.997288009098,-24.754182054261165,48,Delta Hedger,,Deep ITM
108.6756924752413,1.0867569247524131,7.413107082245483,11.260754916334633,-3.84764783408915,48,Delta Hedger,,ITM
75.07457396206563,0.7507457396206563,-0.02711483129005136,0.0,-0.02711483129005136,50,Delta Hedger,,Deep OTM
94.97512103807333,0.9497512103807333,-1.9100819296982563,0.0,-1.9100819296982563,50,Delta Hedger,,OTM
61.04640732691536,0.6104640732691535,-1.457707387259251e-07,0.0,-1.457707387259251e-07,49,Delta Hedger,,Deep OTM
132.7811110577159,1.3278111105771588,1.521531249581928,29.979291975254142,-28.457760725672216,46,Delta Hedger,,Deep ITM
90.93496506127366,0.9093496506127365,-2.21644014097007,0.0,-2.21644014097007,50,Delta Hedger,,OTM
126.1502864616677,1.261502864616677,7.722511075021941,34.484080307476034,-26.761569232454093,44,Delta Hedger,,Deep ITM
59.94092220234835,0.5994092220234835,-5.3183453445051354e-06,0.0,-5.3183453445051354e-06,50,Delta Hedger,,Deep OTM
84.12078788146368,0.8412078788146369,-0.22230186919757575,0.0,-0.22230186919757575,50,Delta Hedger,,OTM
94.70882588143104,0.9470882588143104,-1.548980285340311,0.0,-1.548980285340311,50,Delta Hedger,,OTM
140.69175877266997,1.4069175877266997,-12.170235283063873,36.304030021957175,-48.47426530502105,47,Delta Hedger,,Deep ITM
72.10814261475775,0.7210814261475775,-0.0005266721642101628,0.0,-0.0005266721642101628,50,Delta Hedger,,Deep OTM
87.25791873471442,0.8725791873471442,-1.4110931038880776,0.0,-1.4110931038880776,50,Delta Hedger,,OTM
121.38520532799427,1.2138520532799426,11.197944100930645,32.74383147032128,-21.545887369390638,46,Delta Hedger,,Deep ITM
121.54804592207346,1.2154804592207347,-9.894742720540071,25.5348510802324,-35.42959380077247,50,Delta Hedger,,Deep ITM
122.02449691491883,1.2202449691491883,15.579349455524989,31.49030135245289,-15.9109518969279,46,Delta Hedger,,Deep ITM
101.64591994753259,1.0164591994753258,-6.050137682904143,5.73387659001844,-11.784014272922583,50,Delta Hedger,,ATM
140.79359429803262,1.4079359429803262,6.309801265925628,50.49321181228359,-44.18341054635796,43,Delta Hedger,,Deep ITM
89.10839345434077,0.8910839345434077,2.955301073676938,0.0,2.955301073676938,50,Delta Hedger,,OTM
77.48584194004229,0.7748584194004229,-0.016722683709598972,0.0,-0.016722683709598972,50,Delta Hedger,,Deep OTM
118.77360623627594,1.1877360623627593,-13.586392219481935,7.7702544241330855,-21.356646643615022,50,Delta Hedger,,ITM
106.52988641924262,1.0652988641924261,-6.062692136728566,5.95656765698682,-12.019259793715387,50,Delta Hedger,,ITM
92.2121976384519,0.922121976384519,-0.7551709889995587,0.0,-0.7551709889995587,50,Delta Hedger,,OTM
73.68356594436545,0.7368356594436546,-0.0008090829043022949,0.0,-0.0008090829043022949,50,Delta Hedger,,Deep OTM
136.52329201437317,1.3652329201437317,-24.675042262178025,28.150267609943256,-52.82530987212128,49,Delta Hedger,,Deep ITM
54.91883535360654,0.5491883535360654,-1.388041863119016e-07,0.0,-1.388041863119016e-07,50,Delta Hedger,,Deep OTM
77.2114111270352,0.772114111270352,-0.0068270189446182,0.0,-0.0068270189446182,50,Delta Hedger,,Deep OTM
77.38552888606384,0.7738552888606384,-0.12878599933258789,0.0,-0.12878599933258789,50,Delta Hedger,,Deep OTM
129.56333672592376,1.2956333672592377,-14.884102269454893,25.655406089065337,-40.53950835852023,48,Delta Hedger,,Deep ITM
