Phase,Episode_start,Date,RawPrice,ScaledPrice,AgentActionRaw,HedgeRatio,ChangeInHedge,TransactionCost,PnlFromHolding,RunningAvgSoFar,RunningMaxSoFar
1,2016-02-01,2016-02-01,1939.380004882812,100.0,0.998481035232544,1.996962070465088,1.996962070465088,0.19969620704650878,-0.0,100.0,100.0
1,2016-02-01,2016-02-02,1903.030029296875,98.12569091697253,0.9984363913536072,1.9968727827072144,-8.928775787353516e-05,8.761422931767991e-06,0.9782064176002007,99.06284545848627,100.0
1,2016-02-01,2016-02-03,1912.530029296875,98.6155381865165,0.9984374642372131,1.9968749284744263,2.1457672119140625e-06,2.1160598842588627e-07,0.30064827445568165,98.91374303449635,100.0
1,2016-02-01,2016-02-04,1915.449951171875,98.76609773996391,0.9984372854232788,1.9968745708465576,-3.5762786865234375e-07,3.5321509029852355e-08,-3.6449369016233084,98.87683171086324,100.0
1,2016-02-01,2016-02-05,1880.050048828125,96.94077716046824,0.9984363317489624,1.9968726634979248,-1.9073486328125e-06,1.8489985878080033e-07,-2.7398986637200027,98.48962080078425,100.0
1,2016-02-01,2016-02-08,1853.43994140625,95.56868363806015,0.9984350800514221,1.9968701601028442,-2.5033950805664062e-06,2.39246172475727e-07,-0.12664430738173202,98.00279794033024,100.0
1,2016-02-01,2016-02-09,1852.2099609375,95.50526231445913,0.9984338283538818,1.9968676567077637,-2.5033950805664062e-06,2.390874038462212e-07,-0.036035011321355094,97.64600713663437,100.0
1,2016-02-01,2016-02-10,1851.859985351562,95.48721656865085,0.9984326958656311,1.9968653917312622,-2.2649765014648438e-06,2.1627630171827868e-07,-2.345528138232604,97.37615831563643,100.0
1,2016-02-01,2016-02-11,1829.079956054688,94.31261286852398,0.9984313249588013,1.9968626499176025,-2.7418136596679688e-06,2.585876102418961e-07,3.6758263238824154,97.03576437706838,100.0
1,2016-02-01,2016-02-12,1864.780029296875,96.15341112117711,0.9984303712844849,1.9968607425689697,-1.9073486328125e-06,1.833980772422354e-07,3.1712827402585573,96.94752905147925,100.0
1,2016-02-01,2016-02-16,1895.579956054688,97.7415437553317,0.9984294772148132,1.9968589544296265,-1.7881393432617188e-06,1.7477549986004537e-07,3.216590350534697,97.01971220637493,100.0
1,2016-02-01,2016-02-17,1926.819946289062,99.35236732553047,0.9984285831451416,1.9968571662902832,-1.7881393432617188e-06,1.776558768609711e-07,-0.9256433733743324,97.21410013297123,100.0
1,2016-02-01,2016-02-18,1917.829956054688,98.88881762347415,0.9984273910522461,1.9968547821044922,-2.384185791015625e-06,2.357693138682226e-07,-0.005140643085816461,97.3429245553176,100.0
1,2016-02-01,2016-02-19,1917.780029296875,98.88624325652764,0.998426079750061,1.996852159500122,-2.6226043701171875e-06,2.5933949370904064e-07,2.8541469912533364,97.45316160540403,100.0
1,2016-02-01,2016-02-22,1945.5,100.31556451555547,0.9984249472618103,1.9968498945236206,-2.2649765014648438e-06,2.2721239635891366e-07,-2.494801880077791,97.6439884660808,100.31556451555547
1,2016-02-01,2016-02-23,1921.27001953125,99.06619717095329,0.9984233975410461,1.9968467950820923,-3.0994415283203125e-06,3.070498855644209e-07,0.8782800719231681,97.73287651013533,100.31556451555547
1,2016-02-01,2016-02-24,1929.800048828125,99.50602996676426,0.9984219670295715,1.996843934059143,-2.86102294921875e-06,2.8468903532056124e-07,2.2548829882553267,97.83717965464291,100.31556451555547
1,2016-02-01,2016-02-25,1951.699951171875,100.63525179480271,0.9984206557273865,1.996841311454773,-2.6226043701171875e-06,2.6392645114489314e-07,-0.37580491377016645,97.99262810687402,100.63525179480271
1,2016-02-01,2016-02-26,1948.050048828125,100.44705235299344,0.9984192252159119,1.9968384504318237,-2.86102294921875e-06,2.873813219632915e-07,-1.6288796404264927,98.121808330354,100.63525179480271
1,2016-03-01,2016-03-01,1978.349975585938,100.0,0.998481035232544,1.996962070465088,1.996962070465088,0.19969620704650878,0.0,100.0,100.0
1,2016-03-01,2016-03-02,1986.449951171875,100.40943087350043,0.9984369277954102,1.9968738555908203,-8.821487426757812e-05,8.857605319784918e-06,0.701545875243401,100.2047154367502,100.40943087350043
1,2016-03-01,2016-03-03,1993.400024414062,100.7607374334092,0.99843829870224,1.99687659740448,2.7418136596679688e-06,2.76267166253139e-07,0.6651669632883045,100.3900561023032,100.7607374334092
