EpisodeStart,EpisodeEnd,Phase,OptionPayoff,HedgingPnL_excl_tx,TransactionCost,NetPnL,AvgScaledPrice,NumDays
2016-02-01,2016-02-29,1,0.0,-0.7364235489713735,0.3986564137560231,-1.1350799627273966,98.19728412469735,20
2016-03-01,2016-03-29,1,2.0024276464903608,7.737779871485287,0.4071307464988354,9.333076771476813,102.00242764649036,20
2016-04-01,2016-04-28,1,0.15761256012439162,0.29189234164587674,0.39968470634738895,0.04982019542287941,100.15761256012439,20
2016-05-02,2016-05-27,1,0.0,1.69125311020278,0.4010840666126514,1.2901690435901285,99.1616616055974,20
2016-06-01,2016-06-28,1,0.0,-6.015285225964135,0.39337762949832406,-6.408662855462459,99.26018879720746,20
2016-07-01,2016-07-29,1,2.185122206145735,6.708575476172797,0.40610148948158264,8.48759619283695,102.18512220614573,20
2016-08-01,2016-08-26,1,0.3174764818802487,-0.16561505092244033,0.3992272743306707,-0.24736584337286233,100.31747648188025,20
2016-09-01,2016-09-29,1,0.0,-1.814860136200224,0.3975781062651542,-2.212438242465378,99.3690014544791,20
2016-10-03,2016-10-28,1,0.0,-3.214501441119779,0.39617841299037004,-3.610679854110149,99.19787794662952,20
2016-11-01,2016-11-29,1,2.442298232115789,8.788460618689811,0.4081812755972747,10.822577575208324,102.44229823211579,20
2016-12-01,2016-12-29,1,2.553029283324719,5.302340934972847,0.40469530680188015,7.450674911495685,102.55302928332472,20
2017-01-03,2017-01-31,1,0.7655979538221516,1.8608764456264169,0.4012537936946159,2.2252206057539525,100.76559795382215,20
2017-03-01,2017-03-28,1,0.0,-3.1162492674680777,0.396276615393268,-3.512525882861346,98.80173452788976,20
2017-05-01,2017-05-26,1,0.22253593114304238,2.2984054830686205,0.40169129637327483,2.119250117838388,100.22253593114304,20
2017-06-01,2017-06-28,1,0.21268794596007012,0.873522841561396,0.40026643885805846,0.6859443486634077,100.21268794596007,20
2017-07-03,2017-07-31,1,1.033033728757772,3.3944374850624968,0.402787277328696,4.024683936491573,101.03303372875777,20
2017-08-01,2017-08-28,1,0.0,-2.5892800525226676,0.3968036100708059,-2.9860836625934732,99.17335723785457,20
2017-09-01,2017-09-29,1,0.6578098923801718,3.4517388952585577,0.4028446277055572,3.7067041599331723,100.65780989238017,20
2017-10-02,2017-10-27,1,1.0348411414079521,4.101716188698674,0.4034946326671715,4.733062697439455,101.03484114140795,20
2017-11-01,2017-11-29,1,0.44766574422348526,3.61612130689187,0.40300906164521383,3.6607779894701413,100.44766574422349,20
2017-12-01,2017-12-29,1,0.8371958764181926,2.3723232618640964,0.40176518818142,2.807753950100869,100.83719587641819,20
2018-01-02,2018-01-30,1,3.4235885621838804,9.379201178806852,0.40877221771833583,12.394017523272396,103.42358856218388,20
2018-03-01,2018-03-28,1,1.0531202611003607,-5.41921386990316,0.39397383012855425,-4.760067438931354,101.05312026110036,20
2018-04-02,2018-04-27,1,2.7895985770724394,6.808510016290256,0.40620168168993287,9.191906911672763,102.78959857707244,20
2018-05-01,2018-05-29,1,1.7093163262556743,2.6371053478821125,0.4020299681584304,3.9443917059793563,101.70931632625567,20
2018-06-01,2018-06-28,1,0.7873820953907256,-1.3369509861632594,0.39805601451835454,-0.9476249052908883,100.78738209539073,20
2018-07-02,2018-07-30,1,2.4132035659962696,5.557696191093697,0.4049506847692068,7.56594907232076,102.41320356599627,20
2018-08-01,2018-08-28,1,1.3257772818260491,5.973518380059772,0.40536648609653103,6.893929175789291,101.32577728182605,20
2018-10-01,2018-10-26,1,0.0,-18.15519404697494,0.38123769703318866,-18.53643174400813,95.79132183404776,20
2018-11-01,2018-11-29,1,0.0,-0.18738800717670756,0.39920550256453924,-0.5865935097412468,99.30718774087812,20
2019-01-02,2019-01-30,2,3.6861894802327697,13.605360396886084,0.41299849649487075,16.878551380623982,103.68618948023277,20
2019-03-01,2019-03-28,2,0.0,0.8368269834768967,0.40022969180333,0.43659729167356665,99.95623791679388,20
2019-04-01,2019-04-29,2,1.2035663287071259,5.2819005549224585,0.4046748164113618,6.080792067218223,101.20356632870713,20
