pnl,payoff,hedging_error
18.91360581536694,9.127487842258034,9.786117973108905
-3.4444984803892926,0.0,-3.4444984803892926
-5.644418636329939,1.7608135553385154,-7.405232191668454
-4.662653836076775,7.622900292485198,-12.285554128561973
17.04889166014921,9.110404157533253,7.938487502615956
-2.875382675096893,0.0,-2.875382675096893
-3.3641426628556848,0.0,-3.3641426628556848
-2.8334925409768474,0.0,-2.8334925409768474
-5.322356856509685,4.500478139787646,-9.822834996297331
-4.987970699399527,0.029676723905794233,-5.017647423305322
-2.4153232696077875,0.0,-2.4153232696077875
11.741426030986384,4.006222667554937,7.735203363431447
-3.378752526819658,0.0,-3.378752526819658
8.943473088674109,2.7185724241827103,6.224900664491399
-2.4973846928829833,0.0,-2.4973846928829833
8.6578753669169,9.547897508684969,-0.8900221417680694
13.501949461929282,6.1546333054111955,7.347316156518087
2.056661101650959,2.7706433244520525,-0.7139822228010937
-3.972448074440736,0.0,-3.972448074440736
-3.7621650929535027,0.0,-3.7621650929535027
0.9041171686881804,6.633251414086047,-5.729134245397867
-3.8387798490660323,0.0,-3.8387798490660323
-4.1092643679633145,5.2740169156232355,-9.38328128358655
-3.4374622045718013,0.0,-3.4374622045718013
-2.940332849301808,0.0,-2.940332849301808
-5.3741885844887545,0.0,-5.3741885844887545
0.22125207428321986,0.85862199603352,-0.6373699217503002
-3.314610930767983,0.0,-3.314610930767983
-4.1245969967968446,0.0,-4.1245969967968446
-4.248143507845649,0.0,-4.248143507845649
-4.502961418008653,2.9883907435711166,-7.491352161579769
-3.094074733663964,0.0,-3.094074733663964
-3.180567284479892,0.0,-3.180567284479892
0.9812804291175659,4.70154392653717,-3.720263497419604
-3.560345974217665,0.3744826065715614,-3.9348285807892265
4.426729262015356,6.034466661104048,-1.607737399088692
-4.1922253076768685,0.0,-4.1922253076768685
-3.9582620760449694,6.384355010160959,-10.342617086205928
-1.8546912206660244,4.028039556596809,-5.882730777262834
-4.854627074160921,0.0,-4.854627074160921
-3.110924769138425,0.0,-3.110924769138425
-5.1170962073433826,3.347804644029509,-8.464900851372892
1.9204556431025916,3.920015443696741,-1.9995598005941493
-0.9726468906592575,2.418745749547014,-3.3913926402062717
-4.738091681190786,0.0,-4.738091681190786
-2.714359543972128,0.0,-2.714359543972128
5.06292402068776,0.7761851670365445,4.286738853651215
-3.9048563122675906,0.0,-3.9048563122675906
9.639224002880193,1.9728590466191918,7.666364956261001
-4.918025467195905,0.7124016708107632,-5.630427138006668
-1.1010007767879821,0.3802394797287292,-1.4812402565167113
-3.6460285248811526,0.0,-3.6460285248811526
15.730224921818884,12.531256259541294,3.19896866227759
3.9596091049499957,1.8462530519798719,2.113356052970124
-0.036063142857996125,2.175711849684447,-2.211774992542443
-4.138206259774328,5.926078247137454,-10.064284506911783
12.710166976499558,7.165356898446532,5.544810078053025
-0.9023951513160645,0.5888847332757052,-1.4912798845917696
-3.4980336298729062,0.0,-3.4980336298729062
-0.31747615049117406,3.656635214403792,-3.9741113648949664
15.152247596411925,15.046089709384361,0.1061578870275639
-4.942239645667454,0.0,-4.942239645667454
13.50433456278867,9.601163684427277,3.9031708783613936
31.669103063065393,14.181073098946896,17.488029964118496
2.650021988281878,4.16574554142538,-1.5157235531435025
-3.8666882294609253,0.0,-3.8666882294609253
-0.7357960427784842,0.366484407901595,-1.1022804506800792
-2.6924124418938726,0.0,-2.6924124418938726
-4.008848797664137,0.0,-4.008848797664137
9.238982671449563,9.439035727527184,-0.20005305607762125
18.513909692909884,8.770501903718838,9.743407789191046
-3.3013544226513782,0.0,-3.3013544226513782
-4.448290675196939,1.3485127743011986,-5.796803449498138
-0.2682581792091584,0.0,-0.2682581792091584
8.926507557332396,4.8422398203661885,4.084267736966208
-2.7151074609341865,0.0,-2.7151074609341865
2.3369701043066375,4.905885630274213,-2.5689155259675753
-3.7645550575138267,0.0,-3.7645550575138267
8.321553386444382,7.371509954881802,0.9500434315625803
14.412131797418422,5.956416205729624,8.455715591688797
-4.630942781528835,0.0,-4.630942781528835
-4.702682992018035,0.0,-4.702682992018035
15.970694108972797,8.290618547306906,7.680075561665891
-5.821659531016451,0.0,-5.821659531016451
-2.9074592891945783,0.0,-2.9074592891945783
5.2717276717266675,3.4738349744062305,1.797892697320437
9.662067725058433,3.4416853349347605,6.220382390123673
-3.810503808761045,0.0,-3.810503808761045
20.583696895760134,10.049916003152305,10.53378089260783
-3.455245082591364,0.0,-3.455245082591364
-3.8878082306630373,6.09967632765094,-9.987484558313977
-4.319372063802854,0.0,-4.319372063802854
-5.1054570810584226,1.0586367219089254,-6.164093802967348
6.62789801838079,1.3196108798750288,5.3082871385057615
-1.8702163637889053,0.5085084594773122,-2.3787248232662175
17.760773864532354,11.637080125611519,6.123693738920835
-5.191460402067067,0.0,-5.191460402067067
-1.6110285493249357,1.952435556721909,-3.563464106046845
-3.8974438103498805,3.9452791592837713,-7.842722969633652
4.337132949177988,8.78692278098842,-4.449789831810431
-1.6855924378858123,2.8361713451287613,-4.521763783014574
9.300790729873636,11.307544735049163,-2.0067540051755266
1.954374224927199,0.0,1.954374224927199
-4.066957480539304,0.0,-4.066957480539304
-4.345004005530155,0.0,-4.345004005530155
6.683029001864101,3.9878463125555896,2.6951826893085116
0.35970790378937906,2.1892988978520833,-1.8295909940627042
-3.530253308911063,0.0,-3.530253308911063
8.458976152078286,11.793906158224459,-3.3349300061461733
-3.850846098200434,0.0,-3.850846098200434
16.623378465112577,14.98618702432239,1.6371914407901862
-5.717593739156722,0.0,-5.717593739156722
