Episode,Phase,EpisodeTotalPnl,EpisodeAvgPnlPerStep,EpisodeLen
0,FORCED_ENTRY,-2.1718641987758596,-0.2022274767810105,30
1,FORCED_ENTRY,5.795955921216115,-0.00924192231244588,30
2,FORCED_ENTRY,-0.46174348461388665,0.040261436222005925,30
3,FORCED_ENTRY,2.5351774291803464,0.2758422759917392,30
4,FORCED_ENTRY,2.326928195284135,0.05885180138003172,30
5,FORCED_ENTRY,-0.4168779003511566,0.12428595918442902,30
6,FORCED_ENTRY,-1.9028319777898641,0.01016932437434172,30
7,FORCED_ENTRY,-2.2856406199297825,-0.7006306836061775,30
8,FORCED_ENTRY,-4.791829429348969,0.06307119867660002,30
9,FORCED_ENTRY,1.2123521322910331,-0.04734780025403387,30
10,FORCED_ENTRY,-11.205135257687134,-0.2429592829418355,30
11,FORCED_ENTRY,-5.513253972470259,-0.17289149226861938,30
12,FORCED_ENTRY,4.0708085672111665,0.16574933224570407,30
13,FORCED_ENTRY,-4.331383213325584,-0.22444505428882516,30
14,FORCED_ENTRY,-3.4259286131747215,-0.0794673263601236,30
15,FORCED_ENTRY,-0.9644444104194483,0.038457439654846874,30
16,FORCED_ENTRY,6.356071318369256,0.38997888905262124,30
17,FORCED_ENTRY,0.5295205981777974,0.17838654166536974,30
18,FORCED_ENTRY,-5.96247584334502,-0.5292495121484108,30
19,FORCED_ENTRY,-4.890238151402384,-0.2569534829690021,30
20,FORCED_ENTRY,-2.0157004767856064,-0.06687513773402312,30
21,FORCED_ENTRY,-2.8768647435428023,-0.011515193348615416,30
22,FORCED_ENTRY,-1.2802506658146098,-0.08737126441933404,30
23,FORCED_ENTRY,-2.235820860717851,0.20792593212335053,30
24,FORCED_ENTRY,-7.423931071672143,-0.24659002651271322,30
25,FORCED_ENTRY,-12.150873899127356,-0.9044352596761395,30
26,FORCED_ENTRY,3.0605054507743166,-0.10633755421330068,30
27,FORCED_ENTRY,-2.1235507314100657,0.17309110226013721,30
28,FORCED_ENTRY,3.3107797628523064,0.18509855243645737,30
29,FORCED_ENTRY,-1.8113652389470776,0.001944557359476636,30
30,FORCED_ENTRY,1.6961611789251687,0.29338399638467877,30
31,FORCED_ENTRY,-1.188167051794483,-0.0532561497285768,30
32,FORCED_ENTRY,3.194405499949873,0.337740775254658,30
33,FORCED_ENTRY,2.5430023463613147,0.010664864067685983,30
34,FORCED_ENTRY,-2.2255567281840745,0.049611418326123265,30
35,FORCED_ENTRY,1.3510421212192392,0.16198338228529102,30
36,FORCED_ENTRY,7.791787104886528,0.19879138343655792,30
37,FORCED_ENTRY,0.22309269482985858,-0.12937160884866852,30
38,FORCED_ENTRY,-0.31446111094734264,0.21271515648116385,30
39,FORCED_ENTRY,-1.2320026927804075,0.16754681904049493,30
40,FORCED_ENTRY,2.3935402459266917,-0.1482395158611059,30
41,FORCED_ENTRY,0.014825507021012305,-0.018554899250271494,30
42,FORCED_ENTRY,5.346215928721236,0.16356597460611452,30
43,FORCED_ENTRY,7.378730842520111,-0.27553102875672564,30
44,FORCED_ENTRY,-2.9309589654747423,-0.008396049720356213,30
45,FORCED_ENTRY,-2.2534441312546836,-0.3224850399822486,30
46,FORCED_ENTRY,3.8354615618426133,-0.482482012794854,30
47,FORCED_ENTRY,-4.16313566363147,-0.10872739718959386,30
48,FORCED_ENTRY,5.301489010770216,0.40293617904027407,30
49,FORCED_ENTRY,-2.832114518761093,-0.501629191300346,30
50,FORCED_ENTRY,0.23362591745866654,0.11779509804866532,30
