actor_loss           , cvar_est_mean        , cvar_pen            , entropy            , estimated_b           , gpd_loss            , gqhl_loss           , mean_gpd_scale        , mean_gpd_shape       , mean_u               , tail_percent       , time_elapsed_s       , update, value_loss
0.23193973302841187  , -1.607743263244629   , 0.1607743352651596  , -1.5810414552688599, 0.012577945366501808  , -0.2491641491651535 , 79.6671371459961    , 0.7707062363624573    , 0.4175572097301483   , -0.28451672196388245 , 0.05000000074505806,     3.530850648880005,      0, 0.0006686991546303034
0.2937614321708679   , -1.6170824766159058  , 0.16461899876594543 , -1.5809416770935059, 0.013348989188671112  , -0.25721511244773865, 70.0806884765625    , 0.7712526917457581    , 0.41495808959007263  , -0.29879024624824524 , 0.05000000074505806,     6.702160120010376,      1, 0.0005573263624683022
0.2699301540851593   , -1.5855554342269897  , 0.1642635464668274  , -1.580856442451477 , 0.0050918241031467915 , -0.28389817476272583, 62.51340103149414   , 0.7633773684501648    , 0.4185536205768585   , -0.2726181745529175  , 0.05000000074505806,    10.121752262115479,      2, 0.0001754256518324837
0.25593817234039307  , -1.5939217805862427  , 0.16799935698509216 , -1.5807750225067139, 0.002515002153813839  , -0.2747567296028137 , 56.20148468017578   , 0.763451099395752     , 0.4165821075439453   , -0.2852974534034729  , 0.05000000074505806,    13.725653409957886,      3, 7.264293526532128e-05
0.2699892818927765   , -1.5657826662063599  , 0.16785189509391785 , -1.5806910991668701, 0.0025305955205112696 , -0.29040899872779846, 49.321929931640625  , 0.7574960589408875    , 0.4188247323036194   , -0.26237228512763977 , 0.05000000074505806,    16.874438524246216,      4, 2.0610008505173028e-05
0.2575809359550476   , -1.575889229774475   , 0.17177192866802216 , -1.5806077718734741, 0.002087445929646492  , -0.2530732750892639 , 45.33835983276367   , 0.7580918073654175    , 0.41668760776519775  , -0.27622753381729126 , 0.05000000074505806,    20.049998998641968,      5, 7.292553345905617e-05
0.26623132824897766  , -1.5456633567810059  , 0.17125949263572693 , -1.5805212259292603, 1.4668330550193787e-07, -0.24997787177562714, 40.227149963378906  , 0.7508965134620667    , 0.42089831829071045  , -0.24897827208042145 , 0.05000000074505806,    23.14225459098816 ,      6, 6.782312993891537e-05
0.23887217044830322  , -1.5564513206481934  , 0.1752564162015915  , -1.5804322957992554, 0.0010111527517437935 , -0.2628995478153229 , 38.68022918701172   , 0.7517531514167786    , 0.4187997579574585   , -0.2629750072956085  , 0.05000000074505806,    26.26729655265808 ,      7, 0.00018339870439376682
0.2850087881088257   , -1.5294462442398071  , 0.1749686449766159  , -1.580349087715149 , 0.0014331345446407795 , -0.2536779046058655 , 35.365806579589844  , 0.745341420173645     , 0.4221494793891907   , -0.23956388235092163 , 0.05000000074505806,    29.203604459762573,      8, 0.00010456753807375208
0.2694470286369324   , -1.541914463043213   , 0.17917045950889587 , -1.5802638530731201, 0.00229146471247077   , -0.2690792679786682 , 35.40812301635742   , 0.7471277117729187    , 0.4186493754386902   , -0.2567428946495056  , 0.05000000074505806,    32.1175582408905  ,      9, 0.00015487913333345205
0.2521618902683258   , -1.5146055221557617  , 0.17872345447540283 , -1.5801793336868286, 0.0018717851489782333 , -0.2604368329048157 , 33.36104965209961   , 0.7407547235488892    , 0.42173659801483154  , -0.2335844486951828  , 0.05000000074505806,    34.568726778030396,     10, 6.38892815914005e-05
0.24314747750759125  , -1.5269683599472046  , 0.1829308122396469  , -1.580091953277588 , 0.0015367914456874132 , -0.2739272713661194 , 33.584259033203125  , 0.7424444556236267    , 0.4188935160636902   , -0.24930411577224731 , 0.05000000074505806,    37.0198495388031  ,     11, 6.7098080762662e-05
0.2741539478302002   , -1.499989628791809   , 0.1823987364768982  , -1.580009937286377 , 0.0006042097229510546 , -0.271009624004364  , 32.59727096557617   , 0.7362679243087769    , 0.4212157428264618   , -0.2278939187526703  , 0.05000000074505806,    39.875956296920776,     12, 2.1454859961522743e-05
0.24302692711353302  , -1.513298511505127   , 0.18674103915691376 , -1.5799241065979004, 0.000393823953345418  , -0.27919283509254456, 33.248451232910156  , 0.7385191917419434    , 0.4176425635814667   , -0.24515140056610107 , 0.05000000074505806,    42.583807706832886,     13, 1.0669115908967797e-05
