payoff,pnl,hedging_error,final_price,s_path
38.50174907609528,1.7569380430399946,-36.744811033055285,147.06329345703125,"[140.66615295 140.18296814 142.48059082 143.44697571 141.21839905
 134.60168457 132.63935852 130.52911377 130.46011353 133.56629944
 130.39105225 130.02622986 128.22166443 124.28714752 127.80751801
 128.12306213 123.33063507 124.60271454 123.28134155 127.81736755
 128.33998108 128.91194153 131.63352966 131.55465698 132.88586426
 134.04948425 133.32963562 133.38879395 135.9526062  139.14756775
 140.54782104 139.887146   141.95796204 143.90052795 141.0112915
 142.28334045 143.40750122 148.72251892 152.35136414 149.61990356
 152.49928284 149.80723572 148.77186584 149.13726807 151.94204712
 151.30010986 153.40370178 151.80378723 150.65817261 146.63861084
 147.06329346]"
16.42277392219094,2.3125556455062632,-14.110218276684678,127.6068878173828,"[117.79611969 117.88367462 117.41676331 115.77287292 112.81581116
 114.30406952 113.68151093 112.59209442 111.90145874 111.91119385
 113.41889191 108.16622925 112.17379761 105.8900528  105.80252075
 107.42694855 111.81389618 115.78259277 115.65106964 113.34174347
 113.0007019  116.43055725 116.15774536 116.20645142 117.219841
 116.33313751 115.00795746 115.6023407  114.33560944 110.9349823
 112.22118378 113.0591507  113.60484314 116.00183868 119.57787323
 119.92867279 119.79223633 119.11990356 120.5814743  121.19536591
 118.6619339  120.08456421 119.27579498 118.6619339  124.60575104
 124.53754425 125.40474701 123.41701508 124.94677734 128.50334167
 127.60688782]"
37.478566188438265,-1.9925090538404646,-39.47107524227873,139.88714599609375,"[144.82746887 147.61811829 146.21786499 147.9533844  146.7207489
 148.62391663 149.18600464 145.9516449  148.09141541 148.96905518
 146.05024719 142.21430969 139.20674133 145.97135925 146.24743652
 145.75440979 144.59083557 140.92254639 138.97994995 140.66615295
 140.18296814 142.48059082 143.44697571 141.21839905 134.60168457
 132.63935852 130.52911377 130.46011353 133.56629944 130.39105225
 130.02622986 128.22166443 124.28714752 127.80751801 128.12306213
 123.33063507 124.60271454 123.28134155 127.81736755 128.33998108
 128.91194153 131.63352966 131.55465698 132.88586426 134.04948425
 133.32963562 133.38879395 135.9526062  139.14756775 140.54782104
 139.887146  ]"
44.10551003848806,-3.4573995416385443,-47.56290958012661,139.2067413330078,"[152.0793457  154.46176147 151.33119202 150.36642456 148.0922699
 148.42703247 149.40164185 147.51145935 140.26583862 136.05236816
 140.23629761 143.82957458 144.12490845 143.16999817 137.91296387
 138.237854   136.82022095 136.19021606 140.76794434 136.22958374
 140.19692993 141.51609802 141.62437439 141.16172791 144.98141479
 147.12753296 149.97261047 147.02906799 142.54980469 153.3197937
 150.95706177 148.30885315 142.7762146  136.72180176 136.45556641
 136.98800659 137.5599823  132.99435425 144.82746887 147.61811829
 146.21786499 147.9533844  146.7207489  148.62391663 149.18600464
 145.9516449  148.09141541 148.96905518 146.05024719 142.21430969
 139.20674133]"
56.00833249559591,-9.249650054214356,-65.25798254981027,143.6693878173828,"[170.87619019 171.51423645 172.37809753 175.67643738 174.50828552
 171.40626526 171.11175537 175.16598511 171.84799194 168.67723083
 168.98158264 166.9691925  162.70880127 164.58378601 167.27351379
 162.25724792 162.04130554 164.32852173 164.16168213 163.36650085
 158.82147217 159.89149475 153.92303467 153.69726562 160.63754272
 154.75743103 155.06178284 156.55384827 162.97384644 153.89360046
 154.62106323 149.48931885 151.89787292 144.02331543 140.1499176
 144.62297058 143.07954407 146.7170105  138.43933105 135.02801514
 135.26393127 140.69062805 137.98713684 138.14439392 141.3493042
 147.11022949 146.32373047 146.19596863 148.65368652 142.92227173
 143.66938782]"
68.40488269282324,3.6301687775473255,-64.77471391527591,173.0456085205078,"[157.09976196 162.06059265 161.54098511 160.55078125 158.66842651
 162.08021545 167.82536316 171.64894104 171.13909912 175.93331909
 172.29602051 170.91363525 175.78622437 168.88418579 167.78617859
 166.42341614 169.59991455 172.19799805 172.82542419 176.79606628
 175.77642822 175.86470032 174.70782471 174.09017944 178.44316101
 176.1783905  171.49206543 168.6293335  168.79594421 168.81556702
 171.64894104 172.09013367 168.81556702 169.67835999 166.47241211
 162.97239685 161.28608704 159.22723389 158.45272827 156.64877319
 156.56057739 156.09976196 166.99203491 171.35481262 171.18815613
 172.39404297 169.51164246 169.22698975 168.51039124 171.6222229
 173.04560852]"
14.1748004988128,-0.5763023573408379,-14.751102856153638,111.91119384765624,"[111.77256012 111.48077393 112.40969086 112.55073547 115.04819489
 120.97692108 122.42382812 121.41950226 123.07067871 121.59945679
 121.40248108 125.51950836 130.51928711 127.81512451 117.5821228
 117.65994263 109.74202728 114.11924744 110.39373016 108.94437408
 112.21270752 112.38780975 109.0708313  107.32967377 103.9251709
 107.07678223 108.75956726 104.19754028 105.26751709 109.21675873
 111.82364655 110.97737122 112.6504364  113.60372162 109.93655396
 113.32162476 110.07275391 111.94034576 111.83336639 113.77880096
 121.00608826 117.79611969 117.88367462 117.41676331 115.77287292
 112.81581116 114.30406952 113.68151093 112.59209442 111.90145874
 111.91119385]"
84.71841640098421,-1.9162326533020604,-86.63464905428627,181.1357879638672,"[183.22547913 185.98468018 187.1615448  187.49777222 191.82946777
 190.33615112 189.21858215 189.69329834 188.57572937 186.52864075
 186.00445557 187.67579651 188.43730164 188.58564758 191.84924316
 191.59211731 192.94697571 190.99874878 189.8218689  190.6229248
 191.48332214 192.35360718 191.08773804 193.66891479 194.28211975
 193.45137024 190.45478821 189.06036377 179.98165894 176.87632751
 177.81584167 176.22360229 176.00602722 176.06546021 177.71928406
 175.72874451 174.85728455 172.31222534 172.79750061 174.1343689
 175.51089478 179.36314392 174.66914368 176.87750244 178.44216919
 182.33403015 185.82980347 186.0476532  187.62223816 187.8598938
 181.13578796]"
58.85181771072686,-6.828267330039651,-65.68008504076651,135.26393127441406,"[155.61148071 151.89103699 147.85641479 152.24441528 156.66181946
 157.67297363 160.9712677  162.34564209 165.72247314 167.08695984
 170.87619019 171.51423645 172.37809753 175.67643738 174.50828552
 171.40626526 171.11175537 175.16598511 171.84799194 168.67723083
 168.98158264 166.9691925  162.70880127 164.58378601 167.27351379
 162.25724792 162.04130554 164.32852173 164.16168213 163.36650085
 158.82147217 159.89149475 153.92303467 153.69726562 160.63754272
 154.75743103 155.06178284 156.55384827 162.97384644 153.89360046
 154.62106323 149.48931885 151.89787292 144.02331543 140.1499176
 144.62297058 143.07954407 146.7170105  138.43933105 135.02801514
 135.26393127]"
4.520436904009657,4.053241542691221,-0.46719536131843586,114.11924743652344,"[ 87.81909943  88.55221558  88.38469696  88.38469696  90.74902344
  90.46743011  92.57443237  92.97251892  93.13515472  92.70550537
  94.23966217  94.88776398  93.72018433  93.53083038  95.50190735
  94.18382263  94.4484024   90.14945221  89.92611694  92.05738831
  90.54512787  92.28072357  93.39730835 103.17498016 105.77472687
 106.48111725 106.8670578  110.59558105 108.08111572 109.6520462
 106.39100647 109.92684174 111.87226105 111.77256012 111.48077393
 112.40969086 112.55073547 115.04819489 120.97692108 122.42382812
 121.41950226 123.07067871 121.59945679 121.40248108 125.51950836
 130.51928711 127.81512451 117.5821228  117.65994263 109.74202728
 114.11924744]"
