Phase,EpisodeStart,Date,RawPrice,ScaledPrice,Delta,ChangeInHedge,TransactionCost,PnL_from_Hold
1,2016-02-01,2016-02-01,1939.380004882812,100.0,0.5112374390690152,0.5112374390690152,0.05112374390690152,-0.0
1,2016-02-01,2016-02-02,1903.030029296875,98.12569091697253,0.37559171928822493,-0.13564571978079026,0.013310329973420092,0.2504282636166099
1,2016-02-01,2016-02-03,1912.530029296875,98.6155381865165,0.4074565346828031,0.03186481539457814,0.0031423659193503192,0.05654892153457945
1,2016-02-01,2016-02-04,1915.449951171875,98.76609773996391,0.41564829195453035,0.008191757271727274,0.000809067899361476,-0.7437387980065104
1,2016-02-01,2016-02-05,1880.050048828125,96.94077716046824,0.2771505535046209,-0.13849773844990942,0.013426078400301486,-0.5703083289907991
1,2016-02-01,2016-02-08,1853.43994140625,95.56868363806015,0.18286821067175285,-0.09428234283286807,0.009010439394849497,-0.01757725494001829
1,2016-02-01,2016-02-09,1852.2099609375,95.50526231445913,0.17054840616542005,-0.012319804506332799,0.0011766061610401697,-0.0032999932461974277
1,2016-02-01,2016-02-10,1851.859985351562,95.48721656865085,0.160149284343994,-0.01039912182142605,0.000992983197486292,-0.20032678893264202
1,2016-02-01,2016-02-11,1829.079956054688,94.31261286852398,0.09344295269290909,-0.06670633165108492,0.00629124843288814,0.29480252278407343
1,2016-02-01,2016-02-12,1864.780029296875,96.15341112117711,0.17935271416218157,0.08590976146927248,0.008260516613877219,0.14839980260337246
1,2016-02-01,2016-02-16,1895.579956054688,97.7415437553317,0.28997874426794007,0.1106260301057585,0.010812758962060636,0.2889055793515632
1,2016-02-01,2016-02-17,1926.819946289062,99.35236732553047,0.43919656105363325,0.14921781678569318,0.014825143344805895,-0.13441956050806717
1,2016-02-01,2016-02-18,1917.829956054688,98.88881762347415,0.3837094441532802,-0.05548711690035307,0.005487055383611406,-0.001130653109801103
1,2016-02-01,2016-02-19,1917.780029296875,98.88624325652764,0.37473625890967266,-0.008973185243607518,0.0008873245787852572,0.5484440658180353
1,2016-02-01,2016-02-22,1945.5,100.31556451555547,0.5467775565857188,0.17204129767604615,0.017258419896361288,-0.46818324472013173
1,2016-02-01,2016-02-23,1921.27001953125,99.06619717095329,0.37488655729697656,-0.17189099928874224,0.01702858762745073,0.24049070139978854
1,2016-02-01,2016-02-24,1929.800048828125,99.50602996676426,0.4270360483179913,0.05214949102101474,0.005189188816288597,0.42333008353793417
1,2016-02-01,2016-02-25,1951.699951171875,100.63525179480271,0.6183305355545239,0.19129448723653258,0.01925096889000613,-0.08036794592588434
1,2016-02-01,2016-02-26,1948.050048828125,100.44705235299344,0.6022815385631042,-0.016048996991419706,0.0016120744410101696,-0.5043896150590961
1,2016-03-01,2016-03-01,1978.349975585938,100.0,0.5112374390690152,0.5112374390690152,0.05112374390690152,0.0
1,2016-03-01,2016-03-02,1986.449951171875,100.40943087350043,0.5405664203757478,0.02932898130673256,0.002944906321108549,0.1796010660159093
1,2016-03-01,2016-03-03,1993.400024414062,100.7607374334092,0.5669083523398812,0.02634193196413348,0.0026542324901267828,0.18006491661466476
1,2016-03-01,2016-03-04,1999.989990234375,101.09384158088751,0.5930514812983055,0.0261431289584243,0.002642909337351659,0.05072099822849177
1,2016-03-01,2016-03-07,2001.760009765625,101.18331106571543,0.6020378050436513,0.008986323745345803,0.0009092659908625494,-0.6744842163358743
1,2016-03-01,2016-03-08,1979.260009765625,100.04599965582013,0.513490636525937,-0.08854716851771438,0.008858789991047101,0.30431309549531677
1,2016-03-01,2016-03-09,1989.260009765625,100.55147139355137,0.555762282232869,0.04227164570693209,0.004250476174058921,0.008044557569002794
1,2016-03-01,2016-03-10,1989.569946289062,100.56713780886018,0.5585167671109393,0.0027544848780702846,0.00027701066032531575,0.9163678396884325
1,2016-03-01,2016-03-11,2022.18994140625,102.21598637052718,0.6998690809388862,0.14135231382794688,0.0144484661836799,-0.07198811467728497
1,2016-03-01,2016-03-14,2019.640014648438,102.08709477959131,0.6968037042229053,-0.0030653767159809497,0.00031293540333949963,-0.13124507714457218
1,2016-03-01,2016-03-15,2015.930053710938,101.89956673939199,0.6887237548594619,-0.008079949363443362,0.0008233433394111046,0.39764733629575005
1,2016-03-01,2016-03-16,2027.219970703125,102.47024013548022,0.7468214001057412,0.05809764524627925,0.005953279659692176,0.46545016570359427
1,2016-03-01,2016-03-17,2040.589965820312,103.14605560201451,0.8124804755598385,0.06565907545409733,0.006772474647565189,0.33937414215633843
1,2016-03-01,2016-03-18,2049.580078125,103.60048037091948,0.8594429727981833,0.04696249723834478,0.004865337273310499,0.08295935752742464
1,2016-03-01,2016-03-21,2051.60009765625,103.70258664919068,0.8836686053763214,0.024225632578138145,0.002512260761565828,-0.07819846514099771
1,2016-03-01,2016-03-22,2049.800048828125,103.61159926827534,0.8985741683514537,0.014905562975132236,0.0015443892178474432,-0.5846943085556066
1,2016-03-01,2016-03-23,2036.7099609375,102.94993232096243,0.8782698756610479,-0.02030429269040579,0.0020903255583022886,-0.03497458328637476
1,2016-03-01,2016-03-24,2035.93994140625,102.91101000990764,0.9075562518807525,0.029286376219704646,0.003013890556299946,0.049282175520622425
1,2016-03-01,2016-03-28,2037.050048828125,102.96712280266799,0.9505259418891763,0.042969690008423767,0.004424465347889946,0.823902496196843
1,2016-04-01,2016-04-01,2072.780029296875,100.0,0.5112374390690152,0.5112374390690152,0.05112374390690152,-0.0
1,2016-04-01,2016-04-04,2066.1298828125,99.6791677654946,0.4876121328196885,-0.023625306249326683,0.0023549508651378222,-0.5169605165192207
1,2016-04-01,2016-04-05,2045.170043945312,98.66797320693365,0.4113211268583974,-0.07629100596129113,0.007527478932118688,0.5055394350285769
1,2016-04-01,2016-04-06,2066.659912109375,99.7047387035287,0.48765441725553904,0.07633329039714165,0.007610790773427585,-0.4911349750460439
1,2016-04-01,2016-04-07,2041.910034179688,98.51069603716422,0.3925996956039877,-0.09505472165155132,0.009363906791513225,0.1338649071037298
1,2016-04-01,2016-04-08,2047.599975585938,98.78520376716102,0.4105671987551712,0.017967503151183506,0.0017749234599767705,-0.10625722509076702
1,2016-04-01,2016-04-11,2041.989990234375,98.51455346793627,0.3844154747807325,-0.026151723974438712,0.002576325409758553,0.3908028202730583
1,2016-04-01,2016-04-12,2061.719970703125,99.46641426309468,0.462131546989089,0.07771607220835647,0.007730139033176964,0.38389898808382417
1,2016-04-01,2016-04-13,2082.419921875,100.46507069934454,0.5509792658123998,0.08884771882331077,0.008926092353059401,0.008028685996646722
1,2016-04-01,2016-04-14,2082.780029296875,100.4824438608371,0.5541179279116396,0.003138662099239853,0.0003153804381850056,-0.05449369360158546
1,2016-04-01,2016-04-15,2080.72998046875,100.38354051368258,0.5461754089616937,-0.00794251894994591,0.0007972981727925868,0.3638400803110033
1,2016-04-01,2016-04-18,2094.340087890625,101.04015179078426,0.6151147585945973,0.0689393496329036,0.006965642351266528,0.17021930726110074
1,2016-04-01,2016-04-19,2100.800048828125,101.35180864033869,0.6534407620775211,0.03832600348292381,0.0038844097709502478,0.04747698719310171
1,2016-04-01,2016-04-20,2102.39990234375,101.42899259102388,0.6708748907080478,0.017434128630526735,0.0017683261036966537,-0.34424888174205154
1,2016-04-01,2016-04-21,2091.47998046875,100.90216766408244,0.6203709835059221,-0.05050390720212572,0.00509595371220015,0.0032397554611536964
1,2016-04-01,2016-04-22,2091.580078125,100.90699681405664,0.6310315065272378,0.010660523021315704,0.0010757213625480814,-0.11343366047030336
1,2016-04-01,2016-04-25,2087.7900390625,100.72414870625306,0.6175112314538435,-0.013520275073394372,0.0013618181970420215,0.119032299322412
1,2016-04-01,2016-04-26,2091.699951171875,100.9127800156111,0.6654202235813027,0.04790899212745925,0.00483462958332794,0.10277904874078406
1,2016-04-01,2016-04-27,2095.14990234375,101.079220791917,0.7295242333886922,0.0641040098073895,0.0064795833609683365,-0.620862945911242
1,2016-05-02,2016-05-02,2081.429931640625,100.0,0.5112374390690152,0.5112374390690152,0.05112374390690152,-0.0
1,2016-05-02,2016-05-03,2063.3701171875,99.13233618011394,0.44779805360888914,-0.06343938546012606,0.00628889448649305,-0.3008825103067066
1,2016-05-02,2016-05-04,2051.1201171875,98.5437984727531,0.40218045221468907,-0.04561760139420007,0.004495331718600433,-0.010546883928212595
1,2016-05-02,2016-05-05,2050.6298828125,98.52024570417089,0.39703926390998034,-0.0051411883047087215,0.0005065111349913131,0.12578846069525998
1,2016-05-02,2016-05-06,2057.139892578125,98.83301192640417,0.41771943916600274,0.020680175256022393,0.00204388400771859,0.029567665785329923
1,2016-05-02,2016-05-09,2058.68994140625,98.90748230873903,0.42045326650134524,0.002733827335342498,0.0002703959788055353,0.5157689445566606
1,2016-05-02,2016-05-10,2084.389892578125,100.14220805094155,0.5214191548516365,0.10096588835029124,0.010110946997223001,-0.40258885163837094
1,2016-05-02,2016-05-11,2064.4599609375,99.18469651823692,0.43742399419726885,-0.08399516065436763,0.008331034518504008,-0.008764182818073998
1,2016-05-02,2016-05-12,2064.110107421875,99.16788819284932,0.43264794427753567,-0.004776049919733183,0.0004736307844435673,-0.3677747292171527
