EpisodeStart,EpisodeEnd,Phase,OptionPayoff,HedgingPnL,TransactionCost,NetPnL,AvgScaledPrice,NumDays
2016-02-01,2016-02-29,1,0.0,-1.4433394195425464,0.2599010090784836,-1.70324042862103,98.19728412469735,20
2016-03-01,2016-03-29,1,2.0024276464903608,2.484118615616964,0.2191583356727894,4.267387926434536,102.00242764649036,20
2016-04-01,2016-04-28,1,0.15761256012439162,-0.3525838371538015,0.20462618115781622,-0.3995974581872261,100.15761256012439,20
2016-05-02,2016-05-27,1,0.0,-0.04489328459685282,0.2157284190576043,-0.26062170365445714,99.1616616055974,20
2016-06-01,2016-06-28,1,0.0,-2.253747904511602,0.18010870449917118,-2.433856609010773,99.26018879720746,20
2016-07-01,2016-07-29,1,2.185122206145735,2.0291945854689146,0.21089977852994807,4.003417013084701,102.18512220614573,20
2016-08-01,2016-08-26,1,0.3174764818802487,-0.16804913218955164,0.15357089620663353,-0.004143546515936486,100.31747648188025,20
2016-09-01,2016-09-29,1,0.0,-1.210865845427854,0.2251282319628012,-1.4359940773906552,99.3690014544791,20
2016-10-03,2016-10-28,1,0.0,-0.7843552046571993,0.1412908158188806,-0.9256460204760799,99.19787794662952,20
2016-11-01,2016-11-29,1,2.442298232115789,2.762764725781679,0.2242734246260022,4.980789533271466,102.44229823211579,20
2016-12-01,2016-12-29,1,2.553029283324719,1.324806447449518,0.2029858656344803,3.6748498651397563,102.55302928332472,20
2017-01-03,2017-01-31,1,0.7655979538221516,0.327979192722907,0.18320367186264816,0.9103734746824104,100.76559795382215,20
2017-03-01,2017-03-28,1,0.0,-0.9429063352588614,0.1219599186449492,-1.0648662539038105,98.80173452788976,20
2017-05-01,2017-05-26,1,0.22253593114304238,0.40842389483570685,0.1987297157201021,0.4322301102586471,100.22253593114304,20
2017-06-01,2017-06-28,1,0.21268794596007012,0.0019151389763152338,0.14582142356879568,0.06878166136758967,100.21268794596007,20
2017-07-03,2017-07-31,1,1.033033728757772,0.8666004974067505,0.18534656864828036,1.714287657516242,101.03303372875777,20
2017-08-01,2017-08-28,1,0.0,-0.9409871448588909,0.14853197592205755,-1.0895191207809485,99.17335723785457,20
